,,Location 2021,,-->,Location 2022,AIFDB,,,,Corpus Exists in AIFDB?,Most Recent Map in Corpus,Participants Tidied?,Transcript added to edit link?,2021 Corpus Edit LInk,2022 Corpus Edit Link,Text Present 2021 Location,Text Present 2022 Location,Progress Sheet Link,Transcript Google Doc link
Testrun,Corpus,AIFDBQT Map,AIFDB Map,,AIFDB Map,Old ID,,,Part number,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22174,,,23736,,,,36,y,23736,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22186,,,23737,,,,37,y,23737,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22177,,,23738,,,,38,y,23738,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22188,,,23739,,,,39,y,23739,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22179,,,23740,,,,40,y,23740,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22197,,,23741,,,,41,y,23741,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22198,,,23742,,,,42,y,23742,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22180,,,23743,,,,43,y,23743,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22178,,,23744,,,,44,y,23744,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22181,,,23745,,,,45,y,23745,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22183,,,23746,,,,46,y,23746,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22184,,,23747,,,,47,y,23747,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22201,,,23748,,,,48,y,23748,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22203,,,23749,,,,49,y,23749,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22190,,,23750,,,,50,y,23750,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22194,,,23751,,,,51,y,23751,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22200,,,23752,,,,52,y,23752,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22196,,,23753,,,,53,y,23753,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22199,,,23755,,,,54,y,23755,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22192,,,23756,,,,55,y,23756,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22202,,,23757,,,,56,y,23757,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22195,,,23758,,,,57,y,23758,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22191,,,23759,,,,58,y,23759,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22088,,,23686,,,,1,y,23686,,y,http://corporaqt.arg.tech/edit.php?k=fd35d39b2da710fda41f0327a2e2c92f,http://corpora.aifdb.org/edit.php?k=d76ba9405243af007d99b3c54af8b1ca,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=1211294429,https://docs.google.com/document/d/1W1gupPxHzimO5oSPW6VNF8xVj_yXCbUWjVwIttglq0k/edit?usp=sharing
cutietestrun16september2021,cutietestrun16september2021,22089,,,25723,23687,,,2,y,25723,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22091,,,23690,,,,3,y,23690,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22090,,,23691,,,,4,y,23691,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22097,,,23692,,,,5,y,23692,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22108,,,25907,23693,,,6,y,25907,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22094,,,23694,,,,7,y,23694,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22099,,,23695,,,,8,y,23695,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22092,,,23696,,,,9,y,23696,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22093,,,25722,(identical to 23696) 23697,,,10,y,25722,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22095,,,23698,,,,11,y,23698,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22101,,,23699,,,,12,y,23699,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22104,,,23760,,,,13,y,23760,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22103,,,23761,,,,14,y,23761,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22096,,,23762,,,,15,y,23762,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22106,,,23763,,,,16,y,23763,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22098,,,23765,,,,17,y,23765,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22102,,,23766,,,,18,y,23766,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22100,,,23767,,,,19,y,23767,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22105,,,23768,,,,20,y,23768,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22114,,,23769,,,,21,y,23769,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22113,,,23770,,,,22,y,23770,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22111,,,23771,,,,23,y,23771,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22107,,,23772,,,,24,y,23772,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22109,,,23773,,,,25,y,23773,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22119,,,23774,,,,26,y,23774,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22123,,,23775,,,,27,y,23775,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22110,,,23776,,,,28,y,23776,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22112,,,23777,,,,29,y,23777,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22115,,,23778,,,,30,y,23778,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22126,,,23779,,,,31,y,23779,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22116,,,23780,,,,32,y,23780,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22117,,,23781,,,,33,y,23781,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22122,,,23782,,,,34,y,23782,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22120,,,23783,,,,35,y,23783,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22125,,,23784,,,,36,y,23784,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22132,,,23785,,,,37,y,23785,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22130,,,23786,,,,38,y,23786,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22135,,,23787,,,,39,y,23787,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22127,,,23788,,,,40,y,23788,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22134,,,23789,,,,41,y,23789,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22131,,,23790,,,,42,y,23790,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22129,,,23791,,,,43,y,23791,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22124,,,23792,,,,44,y,23792,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22118,,,25724,23793,,,45,y,25724,,,,,,,,
